Bezeichnung;Querschnitt eines Teilleiters;Aussendurchmesser;Massenbelag eines Teilleiters;Elastizitätsmodul;Längenausdehnungskoeffizient;Normbezeichnung;Rechnerische Bruchkraft;Dauerstrombelastbarkeit;Kurzzeitstromdichte
16-AL1 (16);15.9;5.1;0.0434;60000;0.000023; 16-E-Al;3.02;;2.7E-19
24-AL1 (25);24.2;6.3;0.0663;60000;0.000023; 25-E-Al;4.36;;2.7E-19
34-AL1 (35);34.4;7.5;0.0939;60000;0.000023; 35-E-Al;6.01;;2.7E-19
49-AL1 (50);49.5;9;0.1352;60000;0.000023; 50/7-E-Al;8.41;;2.7E-19
48-AL1 (50);48.3;9;0.1329;57000;0.000023; 50/19-E-Al;8.94;;2.7E-19
66-AL1 (70);65.8;10.5;0.1809;57000;0.000023; 70-E-Al;11.85;;2.7E-19
93-AL1 (95);93.3;12.5;0.2563;57000;0.000023; 95-E-Al;16.32;;2.7E-19
117-AL1 (120);117;14;0.3215;57000;0.000023; 120-E-Al;19.89;;2.7E-19
147-AL1 (150);147.1;15.8;0.4057;57000;0.000023; 150-E-Al;26.48;;2.7E-19
182-AL1 (185);181.6;17.5;0.5009;57000;0.000023; 185-E-Al;31.78;;2.7E-19
243-AL1 (240);242.5;20.3;0.6711;55000;0.000023; 240-E-Al;43.66;;2.7E-19
299-AL1 (300);299.4;22.5;0.8285;55000;0.000023; 300-E-Al;52.4;;2.7E-19
400-AL1 (400);400.1;26;1.1071;55000;0.000023; 400-E-Al;68.02;;2.7E-19
500-AL1 (500);499.8;29.1;1.3829;55000;0.000023; 500-E-Al;82.47;;2.7E-19
626-AL1 (625);626.2;32.6;1.7397;55000;0.000023; 625-E-Al;106.45;;2.7E-19
802-AL1 (800);802.1;36.9;2.2283;55000;0.000023; 800-E-Al;132.34;;2.7E-19
1000-AL1 (1000);999.7;41.1;2.7773;55000;0.000023; 1000-E-Al;159.95;;2.7E-19
16-AL3 (16);15.9;5.1;0.0434;60000;0.000023;16-E-Al;4.69;105;2.7E-19
24-AL3 (25);24.2;6.3;0.0662;60000;0.000023; 25-E-Al;7.15;135;2.7E-19
34-AL3 (35);34.4;7.5;0.0938;60000;0.000023; 35-E-Al;10.14;170;2.7E-19
49-AL3 (50);49.5;9;0.1351;60000;0.000023; 50/7-E-Al;14.6;210;2.7E-19
66-AL3 (70);65.8;10.5;0.1807;57000;0.000023; 70-E-Al;19.41;255;2.7E-19
93-AL3 (95);93.3;12.5;0.256;57000;0.000023; 95-E-Al;27.51;320;2.7E-19
117-AL3 (120);117;14;0.3212;57000;0.000023; 120-E-Al;34.51;365;2.7E-19
147-AL3 (150);147.1;15.8;0.4053;57000;0.000023; 150-E-Al;43.4;425;2.7E-19
182-AL3 (185);181.6;17.5;0.5003;57000;0.000023; 185-E-Al;53.58;490;2.7E-19
243-AL3 (240);242.5;20.3;0.6703;55000;0.000023; 240-E-Al;71.55;585;2.7E-19
299-AL3 (300);299.4;22.5;0.8275;55000;0.000023; 300-E-Al;88.33;670;2.7E-19
400-AL3 (400);400.1;26;1.1059;55000;0.000023; 400-E-Al;118.04;810;2.7E-19
500-AL3 (500);499.8;29.1;1.3814;55000;0.000023; 500-E-Al;147.45;930;2.7E-19
600-AL3 (600);600.38;31.86;1.659;55000;0.000023;600-E-Al;106.45;923;2.7E-19
626-AL3 (625);626.2;32.6;1.7377;55000;0.000023; 625-E-Al;184.73;1075;2.7E-19
802-AL3 (800);802.1;36.9;2.2258;55000;0.000023; 800-E-Al;236.62;1225;2.7E-19
1000-AL3 (1000);999.7;41.1;2.7743;55000;0.000023; 1000-E-Al;294.91;1450;2.7E-19
22-AL4 (ASTER 22);22;6;0.06;62000;0.000023;AAAC;7.15;;2.7E-19
34-AL4 (ASTER 34,4);34.4;7.5;0.0936;62000;0.000023;AAAC;11.17;;2.7E-19
55-AL4 (ASTER 54,6);54.6;9.45;0.1489;62000;0.000023;AAAC;17.73;;2.7E-19
76-AL4 (ASTER 75,5);75.5;11.3;0.2074;60000;0.000023;AAAC;24.55;;2.7E-19
117-AL4 (ASTER 117);117;14;0.3212;60000;0.000023;AAAC;38.02;;2.7E-19
148-AL4 (ASTER 148);148.1;15.8;0.4066;60000;0.000023;AAAC;48.12;;2.7E-19
182-AL4 (ASTER 181,6);181.6;17.5;0.5003;57000;0.000023;AAAC;59.03;;2.7E-19
228-AL4 (ASTER 228);227.8;19.6;0.6276;57000;0.000023;AAAC;74.04;;2.7E-19
228-AL4 (ASTER 288);288.3;22.1;0.7943;57000;0.000023;AAAC;93.71;;2.7E-19
366-AL4 (ASTER 366);366.2;24.9;1.0089;57000;0.000023;AAAC;115.36;;2.7E-19
570-AL4 (ASTER 570);570.2;31.1;1.576;54000;0.000023;AAAC;185.33;;2.7E-19
851-AL4 (ASTER 851);850.7;38;2.3607;54000;0.000023;AAAC;276.47;;2.7E-19
1144-AL4 (ASTER 1144);1143.5;44;3.1734;52500;0.000023;AAAC;360.22;;2.7E-19
1600-AL4 (1596-AL4, ASTER 1600);1595.9;52;4.4275;50500;0.000023;AAAC;502.72;;2.7E-19
15-AL1/3-ST1A (16/2,5);17.8;5.4;0.0616;81000;0.0000192;Al/St;5.8;;1.7E-19
24-AL1/4-ST1A (25/4);27.8;6.75;0.0963;81000;0.0000192;Al/St;8.95;;2.7E-19
34-AL1/6-ST1A (35/6);40.1;8.1;0.1387;81000;0.0000192;Al/St;12.37;;1.7E-19
44-AL1/32-ST1A (44/32);75.6;11.2;0.3693;110000;0.000015;Al/St;44.24;;1.7E-19
48-AL1/8-ST1A (50/8);56.3;9.6;0.1948;81000;0.0000192;Al/St;16.81;;2.7E-19
51-AL1/30-ST1A (50/30);81;11.7;0.3747;107000;0.0000153;Al/St;42.98;;1.7E-19
70-AL1/11-ST1A (70/12);81.3;11.7;0.2822;77000;0.0000189;Al/St;26.27;;2.7E-19
94-AL1/15-ST1A (95/15);109.7;13.6;0.3806;77000;0.0000189;Al/St;34.93;;2.7E-19
97-AL1/56-ST1A (95/55);152.8;16;0.7068;107000;0.0000153;Al/St;77.85;;1.7E-19
106-AL1/76-ST1A (105/75);181.2;17.5;0.8853;110000;0.000015;Al/St;105.82;;1.7E-19
122-AL1/20-ST1A (120/20);141.4;15.5;0.491;77000;0.0000189;Al/St;44.5;;2.7E-19
122-AL1/71-ST1A (120/70);193.4;18;0.8945;107000;0.0000153;Al/St;97.92;;1.7E-19
128-AL1/30-ST1A (125/30);157.8;16.3;0.587;82000;0.0000178;Al/St;56.41;;1.7E-19
149-AL1/24-ST1A (150/25);173.1;17.1;0.6008;77000;0.0000189;Al/St;53.67;;2.7E-19
172-AL1/40-ST1A (170/40);211.8;18.9;0.7882;82000;0.0000178;Al/St;74.89;;1.7E-19
184-AL1/30-ST1A (185/30);213.6;19;0.741;77000;0.0000189;Al/St;65.27;;2.7E-19
209-AL1/34-ST1A (210/35);243.2;20.3;0.8441;77000;0.0000189;Al/St;73.36;;2.7E-19
212-AL1/49-ST1A (210/50);261.5;21;0.9731;82000;0.0000178;Al/St;92.46;;1.7E-19
231-AL1/30-ST1A (230/30);260.8;21;0.8709;74000;0.0000196;Al/St;72.13;;2.7E-19
243-AL1/39-ST1A (240/40);282.5;21.8;0.9801;77000;0.0000189;Al/St;85.12;;2.7E-19
264-AL1/34-ST1A (265/35);297.7;22.4;0.9944;74000;0.0000196;Al/St;81.04;;2.7E-19
304-AL1/49-ST1A (300/50);353.7;24.4;1.2273;77000;0.0000189;Al/St;105.09;;2.7E-19
305-AL1/39-ST1A (305/40);344.1;24.1;1.1512;70000;0.0000193;Al/St;96.8;;2.7E-19
339-AL1/30-ST1A (340/30);369.1;25;1.1712;62000;0.0000205;Al/St;91.71;;2.7E-19
382-AL1/49-ST1A (380/50);431.2;27;1.4425;70000;0.0000193;Al/St;121.3;;2.7E-19
386-AL1/34-ST1A (385/35);420.1;26.7;1.3336;62000;0.0000205;Al/St;102.56;;2.7E-19
434-AL1/56-ST1A (435/55);490.6;28.8;1.6413;70000;0.0000193;Al/St;133.59;;2.7E-19
449-AL1/39-ST1A (450/40);488.2;28.7;1.5491;62000;0.0000205;Al/St;119.05;;2.7E-19
490-AL1/64-ST1A (490/65);553.8;30.6;1.8529;70000;0.0000193;Al/St;150.81;;2.7E-19
494-AL1/34-ST1A (495/35);528.4;29.9;1.6326;61000;0.0000209;Al/St;117.96;;2.7E-19
511-AL1/45-ST1A (510/45);555.8;30.7;1.7653;62000;0.0000205;Al/St;133.31;;2.7E-19
550-AL1/71-ST1A (550/70);620.9;32.4;2.0772;70000;0.0000193; 550/70-Al/St;166.32;;2.7E-19
562-AL1/49-ST1A (560/50);611.2;32.2;1.9395;62000;0.0000205; 560/50-Al/St;146.28;;2.7E-19
571-AL1/39-ST1A (570/40);610.6;32.2;1.8871;61000;0.0000209; 570/40-Al/St;136.4;;2.7E-19
653-AL1/45-ST1A (650/45);698.8;34.4;2.1599;61000;0.0000209; 650/45-Al/St;156.18;;2.7E-19
679-AL1/86-ST1A (680/85);764.5;36;2.5497;68000;0.0000194; 680/85-Al/St;206.56;;2.7E-19
1046-AL1/45-ST1A (1045/45);1090.9;43;3.2482;60000;0.0000217; 1045/45-Al/St;218.92;;2.7E-19
15-AL3/3-ST1A (16/2,5);17.8;5.4;0.0616;81000;0.0000192;Al/St;7.48;;1.7E-19
24-AL3/ 4-ST1A (25/4);27.8;6.75;0.0962;81000;0.0000192;Al/St;11.69;;2.7E-19
34-AL3/ 6-ST1A (35/6);40.1;8.1;0.1386;81000;0.0000192;Al/St;16.66;;1.7E-19
44-AL3/32-ST1A (44/32);75.6;11.2;0.3691;110000;0.000015;Al/St;49.08;;1.7E-19
48-AL3/ 8-ST1A (50/8);56.3;9.6;0.1947;81000;0.0000192;Al/St;23.08;;2.7E-19
51-AL3/30-ST1A (50/30);81;11.7;0.3746;107000;0.0000153;Al/St;49.12;;1.7E-19
70-AL3/ 11-ST1A (70/12);81.3;11.7;0.282;77000;0.0000189;Al/St;33.96;;2.7E-19
94-AL3/ 22-ST1A (94/22);116.2;14;0.4325;82000;0.0000178;Al/St;53.53;;1.7E-19
94-AL3/ 15-ST1A (95/15);109.7;13.6;0.3803;77000;0.0000189;Al/St;45.79;;2.7E-19
97-AL3/ 34-ST1A (95/55);152.8;16;0.7065;107000;0.0000153;Al/St;90.4;;1.7E-19
106-AL3/76-ST1A (105/75);181.2;17.5;0.885;110000;0.000015;Al/St;119.56;;1.7E-19
122-AL3/ 20-ST1A (120/20);141.4;15.5;0.4906;77000;0.0000189;Al/St;59.09;;2.7E-19
122-AL3/ 71-ST1A (120/70);193.4;18;0.8942;107000;0.0000153;Al/St;114.41;;1.7E-19
128-AL3/ 30-ST1A (125/30);157.8;16.3;0.5866;82000;0.0000178;Al/St;71.76;;1.7E-19
149-AL3/ 24-ST1A (150/25);173.1;17.1;0.6003;77000;0.0000189;Al/St;72.28;;2.7E-19
172-AL3/ 40-ST1A (170/40);211.8;18.9;0.7877;82000;0.0000178;Al/St;96.36;;1.7E-19
184-AL3/ 30-ST1A (185/30);213.6;19;0.7404;77000;0.0000189;Al/St;88.24;;2.7E-19
209-AL3/ 34-ST1A (210/35);243.2;20.3;0.8435;77000;0.0000189;Al/St;100.54;;2.7E-19
212-AL3/ 49-ST1A (210/50);261.5;21;0.9725;82000;0.0000178;Al/St;118.96;;1.7E-19
231-AL3/ 30-ST1A (230/30);260.8;21;0.8701;74000;0.0000196;Al/St;102.14;;2.7E-19
243-AL3/ 39-ST1A (240/40);282.5;21.8;0.9794;77000;0.0000189;Al/St;116.72;;2.7E-19
264-AL3/ 34-ST1A (265/35);297.7;22.4;0.9936;74000;0.0000196;Al/St;116.64;;2.7E-19
304-AL3/ 49-ST1A (300/50);353.7;24.4;1.2264;77000;0.0000189;Al/St;146.16;;2.7E-19
305-AL3/ 39-ST1A (305/40);344.1;24.1;1.1503;70000;0.0000193;Al/St;134.88;;2.7E-19
339-AL3/ 30-ST1A (340/30);369.1;25;1.1702;62000;0.0000205;Al/St;134.12;;2.7E-19
382-AL3/ 49-ST1A (380/50);431.2;27;1.4414;70000;0.0000193;Al/St;169.01;;2.7E-19
386-AL3/ 34-ST1A (385/35);420.1;26.7;1.3324;62000;0.0000205;Al/St;152.74;;2.7E-19
434-AL3/ 56-ST1A (435/55);490.6;28.8;1.64;70000;0.0000193;Al/St;190.04;;2.7E-19
449-AL3/ 39-ST1A (450/40);488.2;28.7;1.5477;62000;0.0000205;Al/St;177.39;;2.7E-19
490-AL3/ 64-ST1A (490/65);553.8;30.6;1.8514;70000;0.0000193;Al/St;214.54;;2.7E-19
550-AL3/ 71-ST1A (550/70);620.9;32.4;2.0756;70000;0.0000193;Al/St;240.52;;2.7E-19
562-AL3/ 49-ST1A (560/50);611.2;32.2;1.9378;62000;0.0000209;Al/St;222.11;;2.7E-19
679-AL3/ 86-ST1A (680/85);764.5;36;2.5476;68000;0.0000194;Al/St;298.17;;2.7E-19
24-A20SA (25);24.2;6.3;0.1615;159000;0.000013;Stalum;32.49;;
34-A20SA (35);34.4;7.5;0.229;159000;0.000013;Stalum;46.04;;
49-A20SA (50);49.5;9;0.3297;159000;0.000013;Stalum;66.3;;
66-A20SA (70);65.8;10.5;0.441;159000;0.000013;Stalum;88.18;;
93-A20SA (95);93.3;12.5;0.6249;159000;0.000013;Stalum;124.98;;
117-A20SA (120);117;14;0.7839;159000;0.000013;Stalum;156.77;;
147-A20SA (150);147.1;15.8;0.9892;159000;0.000013;Stalum;197.13;;
182-A20SA (185);181.6;17.5;1.2212;159000;0.000013;Stalum;243.38;;
243-A20SA (240);242.5;20.3;1.6361;157000;0.000013;Stalum;325;;
299-A20SA (300);299.4;22.5;2.0198;157000;0.000013;Stalum;401.24;;
DIN 48201-500-E-Cu;499,83;29,1;4,545;100000;0.000017;Cu-ETP;200.38;;8.8E-20
DIN 48201-400-E-Cu;400,14;26;3,64;100000;0.000017;Cu-ETP;160.42;870;8.8E-20
DIN 48201-300-E-Cu;299,43;22,5;2,725;100000;0.000017;Cu-ETP;120.04;720;8.8E-20
DIN 48201-240-E-Cu;242,54;20,3;2,209;100000;0.000017;Cu-ETP;97.23;;8.8E-20
DIN 48201-185-E-Cu;181,62;17,5;1,649;105000;0.000017;Cu-ETP;72.81;525;8.8E-20
DIN 48201-150-E-Cu;147,11;15,8;1,337;105000;0.000017;Cu-ETP;58.98;;8.8E-20
DIN 48201-120-E-Cu;116,99;14;1,06;105000;0.000017;Cu-ETP;46.9;;8.8E-20
DIN 48201-95-E-Cu;93,27;12,5;0,845;105000;0.000017;Cu-ETP;37.39;;8.8E-20
DIN 48201-70-E-Cu;65,81;10,5;0,596;105000;0.000017;Cu-ETP;26.38;;8.8E-20
DIN 48201-50/19-E-Cu;48,35;9;0,437;105000;0.000017;Cu-ETP;19.38;;8.8E-20
DIN 48201-50/7-E-Cu;49,48;9;0,446;113000;0.000017;Cu-ETP;19.84;;8.8E-20
DIN 48201-35-E-Cu;34,36;7,5;0,31;113000;0.000017;Cu-ETP;13.77;;8.8E-20
DIN 48201-25-E-Cu;24,25;6,3;0,31;113000;0.000017;Cu-ETP;9.72;;8.8E-20
DIN 48201-16-E-Cu;15,89;5,1;0,143;113000;0.000017;Cu-ETP;6.37;;8.8E-20
DIN 48201-10-E-Cu;10,02;4,1;0,09;113000;0.000017;Cu-ETP;4.02;;8.8E-20
Bronze-Seil 10;10.02;4.1;0.09;120000;0.000017;"CuMg";5.88;;8.8E-20
Bronze-Seil 16;15.89;5.1;0.0143;120000;0.000017;"CuMg";9.33;;8.8E-20
Bronze-Seil 25;24.25;6.3;0.218;120000;0.000017;"CuMg";14.24;;8.8E-20
Bronze-Seil 35;34.36;7.5;0.31;120000;0.000017;"CuMg";20.17;;8.8E-20
Bronze-Seil 50;49.48;9;0.446;120000;0.000017;"CuMg";28.58;;8.8E-20
Bronze-Seil 50;48.35;9;0.437;120000;0.000017;"CuMg";28.39;;8.8E-20
Bronze-Seil 70;65.81;10.5;0.596;120000;0.000017;"CuMg";38.64;;8.8E-20
Bronze-Seil 95;93.27;12.5;0.845;120000;0.000017;"CuMg";54.76;;8.8E-20
Bronze-Seil 120;116.99;14;1.06;120000;0.000017;"CuMg";67.57;;8.8E-20
Bronze-Seil 150;147.11;15.8;1.337;120000;0.000017;"CuMg";86.37;;8.8E-20
Bronze-Seil 185;181.52;17.5;1.649;120000;0.000017;"Cu-EP";106.63;;8.8E-20
Bronze-Seil 240;242.54;20.3;2.209;120000;0.000017;"CuMg";142.4;;8.8E-20
Bronze-Seil 300;299.43;22.5;2.725;120000;0.000017;"CuMg";175.8;;8.8E-20
Bronze-Seil 400;400.14;26;3.64;120000;0.000017;"CuMg";231.12;;8.8E-20
Bronze-Seil 500;499.83;29.1;4.545;120000;0.000017;"CuMg";288.7;;8.8E-20
